id,name,logo,description_en,description_ru,images,createdAt
77031d0b-00ee-43a3-903e-ab23eb24b473,7th Key,,"","7th Key — это бутик-компания в сфере недвижимости, которая фокусируется на предоставлении индивидуальных решений для клиентов. Компания занимается как девелопментом, так и управлением активами, стремясь предложить уникальные жилые объекты, соответствующие современным требованиям рынка Дубая. Их подход основан на глубоком понимании потребностей инвесторов и создании пространств, способствующих комфортному образу жизни.","",2025-11-13T00:22:50.553Z
3777c076-8ace-4ecf-885a-bfabf3d387df,A S I Real Estate Development,https://files.alnair.ae/uploads/2024/9/3d/ac/3dac7cbcfaee65697b8d39b76019f69f.jpg,"","ASI LLC — это компания, объединяющая функции коммерческого брокериджа и девелопмента, ориентированная на растущие потребности рынка недвижимости Дубая. Их высокоэффективная команда профессионалов специализируется не только на строительстве, но и на секторе аренды и лизинга. Агенты компании сертифицированы RERA и обладают огромным опытом. ASI известна своим дружелюбным подходом и экспертными консультациями, помогая клиентам принимать правильные решения при покупке важнейших активов, будь то жилая или коммерческая недвижимость.","{https://files.alnair.ae/uploads/2024/9/3d/ac/3dac7cbcfaee65697b8d39b76019f69f.jpg;https://files.alnair.ae/uploads/gallery_photo/2022/12/fe/26/fe26c25d704276e1de8139adbfd582dc.jpg}",2025-11-13T00:22:50.572Z
9da2422b-9bc3-4a1f-a689-2b704d55cb93,AB Developers,,"","AB Developers — это динамично развивающаяся строительная компания, нацеленная на создание современной жилой среды. Застройщик фокусируется на проектах, которые сочетают в себе удобное расположение и современную архитектуру. AB Developers стремится удовлетворить спрос на качественное жилье среднего и премиум-класса, внедряя в свои проекты актуальные дизайнерские решения и удобства для жителей.","",2025-11-13T00:22:50.585Z
44b53526-95e4-4eef-9d14-c4de555579c5,ABA Real Estate Development,,"","Являясь частью более крупного конгломерата, ABA Real Estate Development специализируется на создании жилых сообществ и коммерческих центров. Компания использует свой богатый опыт и финансовую стабильность для реализации масштабных проектов, которые способствуют развитию городской инфраструктуры Дубая и предлагают жителям новый уровень комфорта.","",2025-11-13T00:22:50.593Z
1c0e0595-a6d1-4fd7-8f5e-bbc19a1cab51,ADE Properties,https://files.alnair.ae/uploads/2024/9/ae/61/ae61a3475fdc29236703d6d81bf15104.jpg,"","ADE Properties — динамичная девелоперская компания, входящая в состав престижной группы Al Dallal Group, известного эмиратского бизнеса с историей, восходящей к 1951 году. Продолжая наследие успеха группы, ADE Properties специализируется на инновациях и совершенстве в сфере недвижимости. Под руководством Ахмада и Махмуда Аль Даллал, сыновей покойного Мохаммеда Махмуда Аль Даллала, компания открывает новую главу прогресса. Руководствуясь мудростью основателя, ADE Properties несет в будущее традиции передового мышления, формируя современный ландшафт недвижимости ОАЭ.","{https://files.alnair.ae/uploads/2024/9/ae/61/ae61a3475fdc29236703d6d81bf15104.jpg;https://files.alnair.ae/uploads/gallery_photo/2025/1/1f/ce/1fce8e26af30ca02a6bca1cbb2155f8e.jpg;https://files.alnair.ae/uploads/gallery_photo/2024/9/6d/71/6d71cc4095fef45991cca07df54b1467.jpg}",2025-11-13T00:22:50.598Z
480ee641-91d4-43e4-b396-05224e6007b8,AHS Properties,https://files.alnair.ae/uploads/2024/12/ac/cc/accc3722b04fa30c0abeda5a85e9df15.png,"","AHS Properties, основанная в начале 2021 года, олицетворяет вершину изысканности и величия, демонстрируя впечатляющее портфолио недвижимости. Это новаторское и дальновидное предприятие начало свой путь в сфере ультра-роскошного девелопмента. Движимая непоколебимой страстью к инновациям и совершенству, AHS Properties зарекомендовала себя как инновационная организация, быстро завоевавшая репутацию и лояльность клиентов благодаря созданию уникальных объектов, переопределяющих понятие роскоши.","{https://files.alnair.ae/uploads/2024/12/ac/cc/accc3722b04fa30c0abeda5a85e9df15.png;https://files.alnair.ae/uploads/gallery_photo/2023/7/93/ed/93ed084d09a034133fb01a647b163cd8.jpg;https://files.alnair.ae/uploads/gallery_photo/2023/7/0c/de/0cde1b0d8dc046a1876809ccfdd3a834.jpg;https://files.alnair.ae/uploads/gallery_photo/2023/6/28/36/283648e9302fdb25e0b5a43dcc0cf2ac.jpg;https://files.alnair.ae/uploads/gallery_photo/2025/5/5c/2f/5c2f55e625ae58ef75136c9f3fd47661.jpg;https://files.alnair.ae/uploads/gallery_photo/2025/7/ea/42/ea42bdee0f3e8e02677f22c38cee8964.jpg;https://files.alnair.ae/uploads/gallery_photo/2023/10/11/6a/116aa42e8abe6062ec7000d53428cf7b.jpg}",2025-11-13T00:22:50.602Z
06e2c780-01b0-423c-a86a-c4f7544465d3,AMBER Developments,https://files.alnair.ae/uploads/2025/7/70/cd/70cd53b82628df52fe5ce71266e7be63.png,"","Amber Developments ставит во главу угла интересы клиента и высокое качество исполнения, что выделяет каждый их проект. Участки для строительства тщательно отбираются с учетом их премиального расположения в непосредственной близости к Downtown Dubai и их финансовой отдачи, а материалы и отделка подбираются по всему миру для обеспечения долговечности домов. Миссия компании — стать ведущим девелопером в регионе, поддерживая ценности честности, креативности и профессионализма, а также соблюдая высочайшие этические стандарты для построения прочных отношений с клиентами.","{https://files.alnair.ae/uploads/2025/7/70/cd/70cd53b82628df52fe5ce71266e7be63.png;https://files.alnair.ae/uploads/gallery_photo/2025/7/df/c8/dfc85a32c5fc94a795c11c326aa12407.jpg}",2025-11-13T00:22:50.607Z
d8364f86-b40a-4a21-b4ea-3a072f81ad65,AMBS Real Estate Development,,"","AMBS Real Estate Development — это девелоперская компания, стремящаяся предложить рынку современные жилые решения. Фирма фокусируется на архитектурных инновациях и создании пространств, которые улучшают качество жизни резидентов. Хотя компания может действовать как бутик-девелопер, их внимание к деталям и выбор локаций направлены на привлечение как инвесторов, так и конечных пользователей, ищущих современный комфорт.","",2025-11-13T00:22:50.613Z
46e76115-ab28-4baa-935d-4f3dc1c816bb,AMIS Properties,https://files.alnair.ae/uploads/2024/8/a5/b4/a5b4b2d03ac2b581dd38a78baa1ed6c1.png,"","AMIS Properties сочетает инновационный дизайн, превосходные удобства и первоклассные локации для создания портфолио элитной недвижимости, превосходящего ожидания. С первого дня совершенство дизайна лежит в основе философии AMIS. Обязательства компании выходят за рамки простого выполнения проектов — они стремятся переопределить концепцию роскошной жизни. Эксклюзивные резиденции, безупречно спроектированные отмеченными наградами архитекторами, являются воплощением утонченности и могут похвастаться деталями, созданными для удовлетворения самого взыскательного вкуса.","{https://files.alnair.ae/uploads/2024/8/a5/b4/a5b4b2d03ac2b581dd38a78baa1ed6c1.png;https://files.alnair.ae/uploads/gallery_photo/2025/1/20/e7/20e74d4aaeca90094b9cb62291e6af35.jpg;https://files.alnair.ae/uploads/gallery_photo/2025/10/b1/08/b1085d6cc5dd76ed67837312fb2cdd14.jpg;https://files.alnair.ae/uploads/gallery_photo/2025/4/52/3d/523d0ecf3dd81fb9f1d945b5b5e61f48.png;https://files.alnair.ae/uploads/gallery_photo/2024/8/0d/a1/0da118a81756e0972c68fced7978496f.jpg}",2025-11-13T00:22:50.618Z
18eed437-aff4-468c-9276-76682d9f5455,AMWAJ Development,https://files.alnair.ae/uploads/2025/5/f5/0b/f50b48fe3e47123bffe5abbece4c9a7e.jpg,"","AMWAJ Development — ведущий девелопер в Дубае, следующий миссии предоставлять инновационные и экологически чистые решения. Опираясь на опытную команду лидеров с более чем 25-летним международным стажем, компания специализируется на создании современных семейных жилых пространств премиум-класса (например, Starlight Park). Их цель — создавать знаковые объекты с высококачественной отделкой и интеграцией умных технологий, способствуя развитию космополитичного сообщества и повышению качества городской жизни.","{https://files.alnair.ae/uploads/2025/5/f5/0b/f50b48fe3e47123bffe5abbece4c9a7e.jpg;https://files.alnair.ae/uploads/gallery_photo/2025/5/9d/bf/9dbfeb03f0e1dac8cf572541ef796ae1.jpg;https://files.alnair.ae/uploads/gallery_photo/2024/5/a4/ad/a4ada4afd2007cdbf283e47db4bd3a3b.jpg;https://files.alnair.ae/uploads/gallery_photo/2025/5/32/c0/32c03e5c4a91fb09ce9f743da5476e8b.jpg;https://files.alnair.ae/uploads/gallery_photo/2024/12/15/64/156487d642e612022155d37de3e6381a.jpg}",2025-11-13T00:22:50.624Z
